video_id,author_name,my_desc,related
7068339466804448513,,NATO vs Russia,Y
6943764133762436358,,Random Russia video,N
7087666816738233606,,Russian video about Macron,Y
7086873513138703621,,Video about Zelensky,Y
7093829359970127109,,Missile strike in Ukraine,Y
6875953946347769090,,Moscow travel video,N
7078392843361930501,,Zelensky talking,Y
7088880264637664517,,Russian army in Ukraine,Y
7084993439447682309,,Russia vs US meme,Y
7090905688959880454,,Video about Zelensky,Y
7101728969552121093,,Ukraine - Poland war message,Y
7068812108204526894,,Russia war vehicles,Y
7079135904329223429,,Video about Zelensky,Y
7107606243048492294,,Ukraine joke,N
7110284674349419818,,Zelensky thirst,Y
7085061839469563142,,History colonialisation,N
7087458013052734725,,NATO serbia,N
7093968460849450245,,Destruction in Ukraine,Y
7120267280029699333,,War destruction in Ukraine,Y
7080350084386327851,,Confience bon: Random vlog,N
7030107426070318341,,NATO tank video,N
6779321540619013382,,WW3 prior to invasion,N
7117471343528168750,,Unrelated military video,N
6886509013106887938,,Russian car video,N
7069720048520187178,,Georgia denies Russian ship refuel,Y
7071401660471315713,,Putin speech,Y
7079080471862283525,,Zelensky,Y
6825453096752237825,,Random Russian video,N
7095717434413370629,,Russian ambassador assaulted by Ukraine supporters,Y
6948446053234461953,,Random Russia video,N
7085406256135032070,,Jets flying over Ukraine,Y
7093230137507990790,,How to survive artillery Ukraine,Y
7069453571682471173,,History defending Ukraine,Y
7068297733404118277,,Russian invasion of Ukraine,Y
7077551142783257861,,Poland supporting Ukraine,Y
7077459035435437318,kira_rudik,Destruction from invasion,Y
7077459035435437318,kira_rudik,Destruction in ukraine,Y
7070009736187497734,watiix_fr,Football video featuring Ukraine team,N
7098781483422223621,ukwarriors,"US president announcing death of HVT, no one from Russia",N
7070396251199540507,xaimages,Ghost of kyiv,Y
7068479494570413358,a.plant.biologist,Support for Ukraine,Y
7084998646902607150,slsmith10131971,Zelensky support,Y
7070123703652191493,randomvideosdaily3,Ukraine foreign legion,Y
7069694294692564230,michaelshafar,Putin joke,Y
7072017211329711402,fun_place5,Putin video,Y
7115318155513203974,robertwegrzyn1,Speculation of Russian invasion of Poland,Y
7083055094333230342,just_crina_c_official,Zelensky support,Y
7118748723148000554,thekateryna,Support for Ukraine,Y
7070356486693588251,anhdadenreview,Chechen combat news,Y
7075102075432176942,morriganamber,Japan taking Russian islands while invasion occuring,Y
7075102075432176942,morriganamber,Japan taking land from Russia while Russia is at war in Ukraine,Y
7075387353551899909,yanaklisovska,Support for Ukraine,Y
7109591772703051013,vikkidex,Nazis in Russia news,Y
7069392894766910725,gutesq,Denouncing war,Y
7075134385539796230,gabituuu15,Random video,N
7076906853925408042,philipdefranco,Ukraine counter-offensive news,Y
7091087078276025606,alkiri_latori4,Animation of Russia invading Ukraine,Y
7072326358407400730,alexghartioffical,Zelensky coverage,Y
7087984656573811974,yessa_ttt,Zelensky joining EU,Y
7069509332790021381,harroun09,Simpsons predicting RussiaUkraine conflict,Y
7104944649940258054,geo_maps44,People in east Ukraine scared,Y
7069865204259065134,evibear,Zelensky support,Y
7085350682865241386,cbsmornings,Zelensky calling for aid,Y
7069204512958926122,breakwithbaila,Video about Putin at start of invasion,Y
7087627581675015429,fighter_jets21,Russian minister escort,Y
7068316114782145839,kingapogee,Explanation of Russian invasion,Y
7110648213400472837,otracuentadetutoriales,Random video,N
7079464734772317446,tene0717,German army in Mcdonalds,N
7119210274023820549,president.putin.fanpage,Putin speech,Y
7071618958356499717,make_up_vixen,Zelensky video,Y
7077510610128243974,openlynews,Ukraine soldier,Y
7067288612076883206,president.putin.fanpage,Putin speech,Y
7069953446946049326,nicolehey3,Zelensky support,Y
7062957180802043162,aboutmilitary_id,Putin speech,Y
7068462793023933742,survival.doctors,First aid tips for people in Ukraine war,Y
7088432610371816709,ervesto77,Giving sweets to Ukrainian children during invasion,Y
7082117280770952453,ukwarriors,Fighter jets during 911,N
7074328906311961862,gemlikli.taner,Invasion discussion,Y
7064741361605561605,johnnykeohane,Dis:Discussion of invasion,Y
7069223872528223494,sussexsaxon,Support for Ukraine,Y
7064289039469251845,dutch.soldier1,Netherlands supporting Ukraine,Y
7069714258161863942,valerisssh,Living in Ukraine during invasion,Y
7062363331851685166,valentinapage,Growing up in Russia,N
7071298196739312901,maxklymenko,Russian sanctions,Y
7120260998291918126,bhdailynews,Ukraine invasion coverage,Y
7083692061840444715,libbiesadvice,Random fashion video,N
7112455535257013509,geo_maps44,Opinion about Ukraine,Y
7116698189935267077,thehistorylegends,News about invasion,Y
7116566325190757638,bilvzuta,Random billie eilish video,N
7078709847155330309,sarahjacko69,Zelensky NATO aid,Y
7068408936965229829,almanegra.inc,Calling for peace between Ukraine and Russia,Y
7085710847443553578,morganhelgreen,Support for Ukraine,Y
7096783268804136197,immigration.check,Video about Muslim countries,N
7073554378396896554,philipdefranco,Footage of the invasion of Ukraine,Y
7073236698204867846,david.deaconu,Random football video,N
7068355153065200897,yunggiraffe,Russian jet striking Ukraine home,Y
7070291827726929158,fpgblog,Racist coverage of invasion,Y
7120061372460780846,kungfupippa,Water filtering after pipe damage in Ukraine,Y
7069117211947961606,iz.marian,Zelensky coverage,Y
7120169589849296133,tania_kedyk,EU and Ukraine,Y
7069924444143160622,thedudetrader,Ukraine Russian soldier confrontation,Y
7083347415293562118,knowthetruthnow,Azov battalion in Ukraine army,Y
7069816923244023046,obregia,Zelensky support,Y
7087841706317499654,mv1_editzz,Random F1 video,N
7068158344694877445,vicderbyshire,Invasion coverage,Y
7084721550024330502,polyakovafan_acc,Ukrainian national anthem sung,Y
7074183675335724293,lenagryszko,Ukrainian food,N
7076516693165477162,moneykristina,Invasion coverage,Y
7069239330799095066,jolibeeee,Zelensky germany relationship,Y
7070596885458717994,politifact,Invasion coverage,Y
7052313547895835906,miss.marhaba,Random fishing video,N
7071174778358369542,mrtiktok255,Call to stop the war of Ukraine,Y
7059666444912430341,maik.gti,New nuclear weapon system for Putin Feb 2022,Y
7069001683103124742,dasmandia,Ukrainian civilian talking to Russian soldiers in Ukrainian village,Y
7069001683103124742,dasmandia,Ukraine man talking to Russian soldiers,Y
7099780426314599685,luminouuusss,"Ukrainian symbols in various objects, including Time cover",Y
7098238749997272325,dyazxcccc,Ukraine entry to eurovision during invasion,Y
7170257605489708293,zelenskyfan32,Zelensky walking during war,Y
7086191221261044997,biuroposelskiejedrzejow,"Polish soldier, support for ukraine",Y
7189885806671187242,lakelandswans,Zelensky fan edit,Y
7221606497766214955,thecryptohussar,Discussing going to war with NATO,Y
7214132757255949574,azztv01,Soldiers with sniper rifles in Ukraine,Y
7069925429985004842,itssmittaayy,Veterans packing to go to Ukraine,Y
7098373014026325254,0patron95,Germans talking about the RusUkr war,Y
7068521580971773190,spotnewsanbesty,Ukrainian soldiers say goodbye to partners,Y
7074492848967601413,evtages,Showing destruction in Ukraine,Y
7068993897569078533,ollesiak,Vlog on destruction in Ukraine,Y
7069705544390511873,mariiasergeeva.ph,Military plane flying into Ukraine,Y
7187368172272635162,dibalikukraina,Ukrainian soldier prayin,Y
7070085221613391150,emonursepractitioner,Protest of Russia by dumping alcohol discussion,Y
7069789278041066757,pera.novacovici,Support for Ukraine in football,Y
7207863144536886534,vlad.gheorghe,Discussion of NATO in Ukraine,Y
7075800508950203694,cbsnews,Biden calls Putin a war criminal,Y
7093572523794631978,isaiah..christopher,Random video about US bailouts with Zelensky hashtags,N
7169094205942304005,wereyne,Ukrainian soldiers,Y
7160587027266817285,gidigirlvikky,Support for Ukraine video,Y
7099437489114418437,matyl3d3cky,Random video with stopthewar hashtags,N
7190385054776921349,thesun,Is putin dead discussion,Y
7069523993639800106,thedudetrader,Russians surrending in Ukraine,Y
7098407720537099526,stephenfahey2508,Discussion of russian soldiers being killed by own commanders,Y
7102442903028501765,vika_taran_,Ukraine military checkpoint,Y
7206066859970546949,conflictupdate,Ukraine artillery hitting Russians,Y
7095673212314389765,znastyyaa,Video of Putin,Y
7198229757027306757,mynezalezhna,Discussion of invasion,Y
7114007024341404933,tory_laboratory,Vlog discussion of RusUkr war,Y
7165196402996301099,monteschumacher,Ukraine soldier in Kherson,Y
7193214154306686254,dentonlo,Joke Russian Ukraine war video,Y
7203815605508508934,marina_mangul,Models support for Ukraine,Y
7083281854480141574,enjoythewood,Destruction in Ukraine,Y
7069436555105963269,lenagryszko,Ukrainian history of food with standwithukraine hashtags,N      
7069257173385121029,the_bulletproof_medic,Foreigners going to war in Ukraine,Y
7068324568754081030,rigarooftops,Support for ukraine,Y
7069387468272848129,hananyanaftali,Discussion of the fall of Putin,Y
7198595263462788357,nordicforces,Nordic forces motivation video with ukraine hashtag,Y
7188550843052985627,soldierukrainewin,Ukrainian soldier,Y
7194792353775832363,ukrainevictory01,Ukraine combat footage,Y
7069407673409719554,candywom,Georgia support for Ukraine,Y
7084255746010975534,isaiah..christopher,Putin Finland NATO joke,Y
7086279145214250245,pavel_stankevych,Handstand support for Ukraine,Y
7180042337232375046,slavicamir,Joke about support money for Ukraine,Y
7206878103514205445,romeo17069,Ukraine war updates,Y
7073505339303267590,torcha,Ukrainian soldier vlog,Y
7059525028630793519,readchoi,Random joke if GenZ had to go to war,N
7191196352909610245,omaragamyy,Random video about countries with the most gold,N
7222223277706562859,animeshoes1_jie,Random anime umbrella video,N
7049529300034358534,haroonkhanlive,Video of Putin from before war,Y
7069740513938787586,blackmamba2727,Russian video talking about Z,Y
7222957120390483206,maditacamrap,War in Sudan,N
7176842317230296326,sergeyross11,Putin health deteroiating during war,Y
7156112740136881414,news_from_di_kz,Vlog about Ukraine Russia with fake and stopthewar desc,Y
7211626961616014619,alwitachi,Random anime video,N
7071680804434316550,torcha,Putin discussing no fly zone,Y
7068717194208677126,veronicastrandbergg,Scandinavian soldier,N
7202994034841783595,thecourtneymarsh,Doomsday prepper videos,N
7174679450687163653,dinkeave,Random joke war video,N
7186049338169101570,an1maro,Random anime vide,N
7199017181902933294,housewifeprepperr,Doomsday preppers,N
7211581995808328966,israenourr,Arabs paying the bill joke,N
7173270412082580741,news_from_di_kz,Ukraine russia discussion with fake and stopthewar desc,Y
7210912787478990122,johnstone.gregory,US Ukraine Russia dialogue joke,Y
7173590996221971717,armen.0009,Discussion of ukraine war from latvia,Y
7224111382638136582,thefusenews,US Iran tensions,N
7175470142703340842,therealdued2020,Russian artilley at war,Y
7196799172261989637,07h__08m,Russia France relationship at war,Y
7192720591324056837,itskingchris,Anime video,N
7071645136182168837,wildesweden,Song in support of no war from Russia,Y
7068472086485880069,the_neno_,Putin plans for south america,Y
7166478232810802478,spartan_cf,Fake d day video,N
7137612684916215046,midjourneyartist,AI generated WW3 videos,N
7069051285089176837,vdnews.tv,Milan requesting no fly zone,Y
7226301180853374213,thesun,Russia war plane fly by of UK,Y
7211594492074347781,omaragamyy,ICC arresting Putin,Y
7068677790245129477,votepis,News broadcast about Putin and NATO,Y
7222050117774232878,nathan.legagnoux,Russian soldiers giving gifts to young kids,Y
7214380277622246658,thiccpotato5226,Fortnite video,N
7213725628900609286,fesch6,anime video,N
7213253809181609221,thundermancz,random putin joke,Y
7153276091833044267,ac2ality,Putin causing destruction in ukraine vlog,Y
7142870896687009067,ac2ality,Russia ukraine news coverage,Y
7206223310751894790,ivanvolkorus,Showing improvements in RUssia since Putin,Y
7196064340674415877,britprepper,Putin threatening response against German tanks,Y
7166991744012209413,news_from_di_kz,Russia Ukraine discussion with fake and stopthewar desc,Y
7211992215948643589,fightclubleague,MMA fight,N
7065044406797225221,whatifshow,Discussion of consequences of russia starting a war,Y
7132138964923813126,news_from_di_kz,Russia Ukraine discussion vlog,Y
7069415433782234374,hetmarcshow,Ukraine and Russia war discussion,Y
7068862273191791877,atsumeko_nightlore,Polandball video of Russia and Mexico partnership,N
7209983984913140997,news_from_di_kz,Ukraine Russia discussion,Y
7107724354158349569,news_from_di_kz,Ukraine Russia discussion,Y
7217860862038560006,dylan.page,Discussion of Finland joining NATO and being closer to Russia,Y
7166345153232522502,topshaggeramo,NATO poland defense for Russia,Y
7068749020558085382,sc.ftbl,Football video,N
7069348116239109418,africansindiaspora,African refugees from the invasion,Y
7070616595415977259,philipdefranco,UN voting to condemn russia,Y
7075849531518094634,abcnews,US senator calls for assassination of Putin,Y
7076066099242077482,icedlattesandlibraries,Praising Zelensky,Y
7060670677870742831,haymakers,Random russian video,N
7068976945861627142,ladbibleireland,Random irish video,N
7073878698646162694,arcsxstark,Praise for Zelensky,Y
7087416647358696709,probablycryingtofrank,Random video,N
7101278061919735046,borjasolla,Random vidoe,N
7073278274675166470,muslimtiktok2020,EU asking palestine to condemn russia,Y
7058407785356152070,merridgeerridge,On the brink of ww3 in mid jan,Y
7106516843468262662,20s30s,Ranking NATO members,Y
7089894128439332102,nordicforces,Nordic army propaganda,Y
7106932169460681990,viceworldnews,Ukraine prom outside ruined school,Y
7069176108847090950,qxjl0,Video about Putin,Y
7069188304390098222,justlydeserved,Discussion of Russia nukes,Y
7068852871655116059,clayfordblade,Stop the ukraine war video,Y
7064486160772681007,arjunbanerjeecomedy,US military and russia joke,Y
7071392621893127466,vinita_yates,Protest against invasion,Y
7069499300186737963,johnstone.gregory,US and Russia joke,Y
7070153210090016005,trimax77,UN walk out on Russia diplomat,Y
7077676736535678251,yewleea,Belarus stance on war,Y
7053147440416836870,usafrogmen,navy seals propaganda,Y
7069991626789227822,donut_enforcement,US vs Russia military,Y
7068752763051691270,female_leaders,Ukraine Slovakia war,Y
7069537061275028779,pibbitpencil,Zelensky in war,Y
7068420242233576750,rakaii,Talking about getting drafted,Y
7070295678664084741,winchester_frases,Zelensky video,Y
7070842026731867397,arkadiahistory,Catherine the great russian history,N
7068434376538770694,.formula1editz,Putin video,Y
7119032826434981126,zelenskyfan32,Zelensky praise,Y
7095514073093164289,becthecreator,Condemning Russian soldiers,Y
7068825298917149957,_fragger_1,Zelensky video,Y
7100963948903599366,dzekol.official,Ukraine based map of europe,Y
7083040416865504517,polyakovafan_acc,Call for no fly zone?,Y
7066118186193734917,military_fr7,French military propaganda,Y
7070523638717517102,thedailyshow,Invasion coverage,Y
7080609129298988294,viceworldnews,Ukraine foreign legion,Y
7068244261967318277,ilia.photographer,Cat getting bombed,Y
7082153076915817774,thedemithomas,Random video,N
7069658885568613637,kevinschmidt7,Speech about invasion,Y
7069422349711396142,outfitchrx,Support for ukraine,Y
7068357921754615046,it.stinx,Putin palestine vid,Y
7069276648679640366,beccaxjensen,Ukraine Russia conflict,Y
7069244592729656581,aniraaaaaaaaaaaaa,Winnipeg support for Ukraine,Y
7111433873975774507,abcnews,Ben Stiller meets Zelensk,Y
7064977427495226629,the.tiktok.crusader,Meme about Moscow battle,Y
7074874161952328965,pashkovsska,Zelensky wife,Y
7075040942130040070,wolfganggray,Ukraine refugees,Y
7107642962628185386,jessekatches,Random video,N
7079465225275280686,bhalldor,Random video,N
7075276453432151302,fabryqbr,Stop the invasion,Y
7069909192978468138,.lfgoat,Ukraine football support,Y
7092649325444025606,vika_ya_t,Celebrity support for Ukraine,Y
7071602547944967429,clementmaalouly1,Ukrainian refugees,Y
7069360363577281818,nikawanai,NATO and ukraine,Y
7097891488083791110,fayecwhite,Ukraine hosting eurovision despite war,Y
7069812635100794118,ukriane.russia,Ukraine farmers stealing russian tanks,Y
7069498414333037866,abcnews,Speculation on reason for invasion,Y
7070657915828423978,nbcnews,Russian burning passport,Y
7067539420936801542,zacuzzitok,Invading Russia joke,Y
7068871309450661163,the_hippie_viking,Ukraine history propaganda,Y
7093418474692758790,reyqopperxvii,Random video but with Z in description,N
7070961713155198213,sophieedixonxx,Ukraine destruction,Y
7071385365646413061,twixmancz,Support for ukraine,Y
7080984462183451910,chloe3133,Support for Ukraine,Y
7068439363323219247,thefastflashh,Ukraine support,Y
7120000999820922118,jacksoncabralcwb,Random ukraine dancing,N
7095353616877260074,j0kerfleck,Zelensky support,Y
7077657131968744710,willmerb16,Ukrainian holocaust survivor killed by Russia,Y
7069130482826415386,jamsssssoledad,Ukraine military propaganda,Y
7072553480400964910,lisaremillard,Ukraine invasion ews,Y
7069392051904777478,skynews,Putin nukes,Y
